ID	Name	Type	PriceType	Price	PriceBeforeDiscount	Time	AddGem	AddChip	AddInteractiveItem	AddSpeechItem	AddKickCard	AddLockCard	ReturnPercentageAtLose	ReturnProbabilityAtLose	ReturnPercentageAtLose2	ExtraChipPercentageAtWin	ExtraChipProbabilityAtWin	UseInteractiveItemFreePercentage	ExtraExpPercentage	GetOneKickCardProbabilityAtWin	GetOneLockCardProbabilityAtWin	CheckFoldCard	CheckOneFoldCardProbability	ExtraOneExpProbabilityAtWin	InfoVersion	StorePosition	MinRandomChip	MaxRandomChip	DiscountBuyItem	ExtraChipLimit
3011	饰品_瑞士手表	3	0	4980000	0	168	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	4	0	0	0	0	0
3012	饰品_海洋之心	3	1	368	0	168	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	3	0	0	6	0	0	0	0	0
3013	饰品_公主头冠	3	1	528	0	168	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	4	0	0	6	0	0	0	0	0
3014	饰品_皇冠	3	1	528	0	168	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	4	0	0	6	0	0	0	0	0
4001	饮品_苏打水	4	0	2000	0	24	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	4	4201	0	0	0	0
4002	饮品_可乐	4	0	2000	0	24	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	4	4202	0	0	0	0
4003	饮品_咖啡	4	0	2000	0	24	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	4	4203	0	0	0	0
4004	饮品_鲜榨果汁	4	0	2000	0	24	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	4	4204	0	0	0	0
4005	饮品_蜂蜜茶	4	0	2000	0	24	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	4	4205	0	0	0	0
4006	饮品_葡萄酒	4	0	2000	0	24	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	4	4206	0	0	0	0
4007	饮品_威士忌	4	0	2000	0	24	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	4	4207	0	0	0	0
4008	饮品_伏特加	4	0	2000	0	24	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	4	4208	0	0	0	0
4009	饮品_鸡尾酒（血腥玛丽）	4	0	2000	0	24	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	4	4209	0	0	0	0
4010	饮品_鸡尾酒（马蒂尼）	4	0	2000	0	24	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	4	4210	0	0	0	0
4011	饮品_状元红	4	0	2000	0	24	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	4	4211	0	0	0	0
4012	饮品_三碗不过岗	4	0	2000	0	24	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	4	4212	0	0	0	0
4013	美食_棒棒糖	4	0	4500	0	24	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	4	4101	0	0	0	0
4014	美食_提拉米苏	4	0	4500	0	24	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	4	4102	0	0	0	0
4015	美食_苹果派	4	0	4500	0	24	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	4	4103	0	0	0	0
4016	美食_小笼包	4	0	4500	0	24	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	4	4104	0	0	0	0
4017	美食_可丽饼	4	0	4500	0	24	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	4	4105	0	0	0	0
4018	美食_热狗	4	0	4500	0	24	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	4	4106	0	0	0	0
4019	美食_冰淇林	4	0	4500	0	24	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	4	4107	0	0	0	0
4020	美食_甜甜圈	4	0	4500	0	24	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	4	4108	0	0	0	0
4021	烟_香烟	4	0	3500	0	24	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	4	4109	0	0	0	0
4022	烟_女性香烟	4	0	3500	0	24	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
4023	烟_雪茄	4	0	3500	0	24	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	4	4110	0	0	0	0
4024	烟_烟斗	4	0	3500	0	24	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	4	4111	0	0	0	0
4025	烟_旱烟	4	0	3500	0	24	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	4	4112	0	0	0	0
4026	烟_水烟	4	0	3500	0	24	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	4	4113	0	0	0	0
4027	吉祥物_招财猫	4	0	5000	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	4	4301	0	0	0	0
4028	吉祥物_财神爷	4	0	5000	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	4	4302	0	0	0	0
4029	吉祥物_忠犬	4	0	5000	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	4	4303	0	0	0	0
4030	吉祥物_瓷娃娃	4	0	5000	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	4	4304	0	0	0	0
4031	吉祥物_晴天娃娃	4	0	5000	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	4	4305	0	0	0	0
4032	吉祥物_复活节彩蛋	4	0	5000	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	4	4306	0	0	0	0
4033	吉祥物_彼岸花	4	0	5000	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	4	4307	0	0	0	0
4034	吉祥物_贝壳	4	0	5000	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	4	4308	0	0	0	0
4035	饰品_幸运兔脚	4	0	7500	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	4	4309	0	0	0	0
4036	饰品_ZIPPO打火机	4	0	7500	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	4	4310	0	0	0	0
4037	饰品_肩章	4	0	7500	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	4	4311	0	0	0	0
4038	饰品_手链	4	0	7500	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	4	4312	0	0	0	0
4039	饰品_铃铛	4	0	7500	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	4	4313	0	0	0	0
4040	饮品_清酒	4	0	2000	0	24	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	4	4213	0	0	0	0
6001	互动道具	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
6002	语音聊天道具	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
6003	踢人卡	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6004	锁房卡	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7001	金储存罐	7	1	18	0	720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2101	20000	40000	0	0
7002	金袋子	7	1	68	0	720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2102	100000	150000	0	0
7003	聚宝盆	7	1	268	0	720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2103	500000	600000	0	0
8001	皮肤1	8	0	20000	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	3105	0	0	0	0
8002	皮肤2	8	0	25000	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	3205	0	0	0	0
8003	皮肤3	8	0	35000	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	3306	0	0	0	0
8004	皮肤4	8	0	30000	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	3106	0	0	0	0
8005	皮肤5	8	0	30000	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	3206	0	0	0	0
8006	皮肤6	8	0	25000	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	3305	0	0	0	0
8007	皮肤7	8	0	45000	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	3304	0	0	0	0
8008	皮肤8	8	0	40000	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	3104	0	0	0	0
8009	皮肤9	8	0	40000	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	3204	0	0	0	0
8010	皮肤10	8	0	50000	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	3101	0	0	0	0
8011	皮肤11	8	0	50000	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	3201	0	0	0	0
8012	皮肤12	8	0	50000	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	3301	0	0	0	0
8013	皮肤13	8	0	50000	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	3102	0	0	0	0
8014	皮肤14	8	0	50000	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	3202	0	0	0	0
8015	皮肤15	8	0	50000	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	3302	0	0	0	0
8016	皮肤16	8	0	50000	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	3103	0	0	0	0
8017	皮肤17	8	0	50000	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	3203	0	0	0	0
8018	皮肤18	8	0	50000	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	3303	0	0	0	0
